ChromatogramRI,
X:,Y:
7.14,-0.411
7.14167,-0.41
7.14333,-0.405
7.145,-0.41
7.14667,-0.415
7.14833,-0.426
7.15,-0.431
7.15167,-0.436
7.15333,-0.431
7.155,-0.42
7.15667,-0.415
7.15833,-0.411
7.16,-0.412
7.16167,-0.418
7.16333,-0.423
7.165,-0.43
7.16667,-0.44
7.16833,-0.44
7.17,-0.441
7.17167,-0.431
7.17333,-0.42
7.175,-0.415
7.17667,-0.42
7.17833,-0.42
7.18,-0.42
7.18167,-0.436
7.18333,-0.445
7.185,-0.445
7.18667,-0.44
7.18833,-0.434
7.19,-0.423
7.19167,-0.422
7.19333,-0.422
7.195,-0.428
7.19667,-0.433
7.19833,-0.433
7.2,-0.443
7.20167,-0.443
7.20333,-0.432
7.205,-0.427
7.20667,-0.416
7.20833,-0.416
7.21,-0.417
7.21167,-0.422
7.21333,-0.433
7.215,-0.438
7.21667,-0.442
7.21833,-0.447
7.22,-0.437
7.22167,-0.427
7.22333,-0.422
7.225,-0.428
7.22667,-0.433
7.22833,-0.433
7.23,-0.443
7.23167,-0.448
7.23333,-0.454
7.235,-0.449
7.23667,-0.44
7.23833,-0.435
7.24,-0.429
7.24167,-0.439
7.24333,-0.443
7.245,-0.447
7.24667,-0.453
7.24833,-0.458
7.25,-0.463
7.25167,-0.452
7.25333,-0.447
7.255,-0.442
7.25667,-0.441
7.25833,-0.451
7.26,-0.456
7.26167,-0.461
7.26333,-0.465
7.265,-0.466
7.26667,-0.467
7.26833,-0.458
7.27,-0.449
7.27167,-0.444
7.27333,-0.444
7.275,-0.448
7.27667,-0.454
7.27833,-0.458
7.28,-0.468
7.28167,-0.473
7.28333,-0.469
7.285,-0.464
7.28667,-0.454
7.28833,-0.454
7.29,-0.455
7.29167,-0.46
7.29333,-0.465
7.295,-0.47
7.29667,-0.475
7.29833,-0.474
7.3,-0.468
7.30167,-0.457
7.30333,-0.446
7.305,-0.446
7.30667,-0.451
7.30833,-0.461
7.31,-0.471
7.31167,-0.481
7.31333,-0.48
7.315,-0.475
7.31667,-0.475
7.31833,-0.47
7.32,-0.469
7.32167,-0.468
7.32333,-0.473
7.325,-0.488
7.32667,-0.499
7.32833,-0.5
7.33,-0.504
7.33167,-0.494
7.33333,-0.488
7.335,-0.478
7.33667,-0.472
7.33833,-0.477
7.34,-0.478
7.34167,-0.483
7.34333,-0.492
7.345,-0.499
7.34667,-0.504
7.34833,-0.499
7.35,-0.489
7.35167,-0.483
7.35333,-0.484
7.355,-0.48
7.35667,-0.481
7.35833,-0.486
7.36,-0.493
7.36167,-0.499
7.36333,-0.5
7.365,-0.491
7.36667,-0.482
7.36833,-0.477
7.37,-0.472
7.37167,-0.477
7.37333,-0.482
7.375,-0.487
7.37667,-0.498
7.37833,-0.504
7.38,-0.504
7.38167,-0.499
7.38333,-0.49
7.385,-0.485
7.38667,-0.486
7.38833,-0.486
7.39,-0.492
7.39167,-0.501
7.39333,-0.506
7.395,-0.512
7.39667,-0.506
7.39833,-0.506
7.4,-0.506
7.40167,-0.5
7.40333,-0.494
7.405,-0.499
7.40667,-0.503
7.40833,-0.509
7.41,-0.509
7.41167,-0.514
7.41333,-0.509
7.415,-0.503
7.41667,-0.493
7.41833,-0.493
7.42,-0.498
7.42167,-0.503
7.42333,-0.508
7.425,-0.517
7.42667,-0.527
7.42833,-0.526
7.43,-0.521
7.43167,-0.52
7.43333,-0.51
7.435,-0.51
7.43667,-0.515
7.43833,-0.52
7.44,-0.53
7.44167,-0.535
7.44333,-0.536
7.445,-0.531
7.44667,-0.527
7.44833,-0.522
7.45,-0.523
7.45167,-0.523
7.45333,-0.528
7.455,-0.539
7.45667,-0.543
7.45833,-0.548
7.46,-0.543
7.46167,-0.538
7.46333,-0.527
7.465,-0.522
7.46667,-0.518
7.46833,-0.517
7.47,-0.522
7.47167,-0.532
7.47333,-0.542
7.475,-0.542
7.47667,-0.541
7.47833,-0.526
7.48,-0.521
7.48167,-0.51
7.48333,-0.51
7.485,-0.515
7.48667,-0.52
7.48833,-0.525
7.49,-0.53
7.49167,-0.531
7.49333,-0.527
7.495,-0.528
7.49667,-0.518
7.49833,-0.518
7.5,-0.513
7.50167,-0.518
7.50333,-0.528
7.505,-0.533
7.50667,-0.543
7.50833,-0.549
7.51,-0.544
7.51167,-0.534
7.51333,-0.524
7.515,-0.52
7.51667,-0.52
7.51833,-0.519
7.52,-0.525
7.52167,-0.531
7.52333,-0.536
7.525,-0.541
7.52667,-0.537
7.52833,-0.532
7.53,-0.528
7.53167,-0.529
7.53333,-0.535
7.535,-0.535
7.53667,-0.541
7.53833,-0.547
7.54,-0.552
7.54167,-0.552
7.54333,-0.542
7.545,-0.541
7.54667,-0.54
7.54833,-0.538
7.55,-0.538
7.55167,-0.548
7.55333,-0.558
7.555,-0.562
7.55667,-0.567
7.55833,-0.563
7.56,-0.553
7.56167,-0.549
7.56333,-0.55
7.565,-0.551
7.56667,-0.556
7.56833,-0.556
7.57,-0.557
7.57167,-0.563
7.57333,-0.563
7.575,-0.558
7.57667,-0.553
7.57833,-0.554
7.58,-0.549
7.58167,-0.554
7.58333,-0.554
7.585,-0.56
7.58667,-0.564
7.58833,-0.573
7.59,-0.573
7.59167,-0.563
7.59333,-0.557
7.595,-0.551
7.59667,-0.551
7.59833,-0.556
7.6,-0.561
7.60167,-0.571
7.60333,-0.577
7.605,-0.577
7.60667,-0.573
7.60833,-0.563
7.61,-0.553
7.61167,-0.548
7.61333,-0.547
7.615,-0.552
7.61667,-0.561
7.61833,-0.566
7.62,-0.566
7.62167,-0.566
7.62333,-0.565
7.625,-0.559
7.62667,-0.558
7.62833,-0.557
7.63,-0.557
7.63167,-0.562
7.63333,-0.577
7.635,-0.583
7.63667,-0.583
7.63833,-0.583
7.64,-0.578
7.64167,-0.577
7.64333,-0.572
7.645,-0.572
7.64667,-0.573
7.64833,-0.582
7.65,-0.597
7.65167,-0.595
7.65333,-0.6
7.655,-0.6
7.65667,-0.589
7.65833,-0.583
7.66,-0.583
7.66167,-0.587
7.66333,-0.592
7.665,-0.592
7.66667,-0.602
7.66833,-0.607
7.67,-0.607
7.67167,-0.603
7.67333,-0.593
7.675,-0.589
7.67667,-0.585
7.67833,-0.59
7.68,-0.591
7.68167,-0.597
7.68333,-0.602
7.685,-0.608
7.68667,-0.604
7.68833,-0.599
7.69,-0.59
7.69167,-0.584
7.69333,-0.58
7.695,-0.586
7.69667,-0.592
7.69833,-0.602
7.7,-0.612
7.70167,-0.612
7.70333,-0.611
7.705,-0.6
7.70667,-0.595
7.70833,-0.6
7.71,-0.6
7.71167,-0.605
7.71333,-0.615
7.715,-0.625
7.71667,-0.634
7.71833,-0.628
7.72,-0.628
7.72167,-0.621
7.72333,-0.614
7.725,-0.613
7.72667,-0.613
7.72833,-0.612
7.73,-0.617
7.73167,-0.621
7.73333,-0.621
7.735,-0.62
7.73667,-0.611
7.73833,-0.607
7.74,-0.602
7.74167,-0.603
7.74333,-0.608
7.745,-0.613
7.74667,-0.618
7.74833,-0.629
7.75,-0.634
7.75167,-0.635
7.75333,-0.625
7.755,-0.61
7.75667,-0.604
7.75833,-0.604
7.76,-0.604
7.76167,-0.614
7.76333,-0.62
7.765,-0.631
7.76667,-0.631
7.76833,-0.636
7.77,-0.631
7.77167,-0.631
7.77333,-0.626
7.775,-0.626
7.77667,-0.625
7.77833,-0.63
7.78,-0.635
7.78167,-0.641
7.78333,-0.636
7.785,-0.636
7.78667,-0.631
7.78833,-0.62
7.79,-0.62
7.79167,-0.62
7.79333,-0.63
7.795,-0.64
7.79667,-0.649
7.79833,-0.649
7.8,-0.648
7.80167,-0.643
7.80333,-0.639
7.805,-0.634
7.80667,-0.634
7.80833,-0.639
7.81,-0.649
7.81167,-0.66
7.81333,-0.66
7.815,-0.66
7.81667,-0.649
7.81833,-0.639
7.82,-0.63
7.82167,-0.63
7.82333,-0.631
7.825,-0.632
7.82667,-0.642
7.82833,-0.647
7.83,-0.658
7.83167,-0.664
7.83333,-0.659
7.835,-0.655
7.83667,-0.65
7.83833,-0.649
7.84,-0.643
7.84167,-0.648
7.84333,-0.653
7.845,-0.658
7.84667,-0.669
7.84833,-0.67
7.85,-0.659
7.85167,-0.649
7.85333,-0.639
7.855,-0.639
7.85667,-0.638
7.85833,-0.643
7.86,-0.648
7.86167,-0.657
7.86333,-0.664
7.865,-0.659
7.86667,-0.65
7.86833,-0.641
7.87,-0.636
7.87167,-0.641
7.87333,-0.651
7.875,-0.656
7.87667,-0.668
7.87833,-0.678
7.88,-0.683
7.88167,-0.678
7.88333,-0.663
7.885,-0.658
7.88667,-0.657
7.88833,-0.656
7.89,-0.661
7.89167,-0.671
7.89333,-0.676
7.895,-0.68
7.89667,-0.675
7.89833,-0.665
7.9,-0.659
7.90167,-0.658
7.90333,-0.664
7.905,-0.664
7.90667,-0.674
7.90833,-0.684
7.91,-0.693
7.91167,-0.697
7.91333,-0.696
7.915,-0.69
7.91667,-0.685
7.91833,-0.684
7.92,-0.683
7.92167,-0.684
7.92333,-0.688
7.925,-0.693
7.92667,-0.698
7.92833,-0.698
7.93,-0.693
7.93167,-0.684
7.93333,-0.674
7.935,-0.669
7.93667,-0.67
7.93833,-0.679
7.94,-0.679
7.94167,-0.689
7.94333,-0.699
7.945,-0.699
7.94667,-0.693
7.94833,-0.683
7.95,-0.673
7.95167,-0.669
7.95333,-0.675
7.955,-0.681
7.95667,-0.691
7.95833,-0.691
7.96,-0.696
7.96167,-0.696
7.96333,-0.686
7.965,-0.681
7.96667,-0.681
7.96833,-0.68
7.97,-0.69
7.97167,-0.694
7.97333,-0.698
7.975,-0.703
7.97667,-0.713
7.97833,-0.707
7.98,-0.702
7.98167,-0.701
7.98333,-0.696
7.985,-0.696
7.98667,-0.701
7.98833,-0.706
7.99,-0.706
7.99167,-0.721
7.99333,-0.721
7.995,-0.712
7.99667,-0.708
7.99833,-0.703
8,-0.704
8.00167,-0.699
8.00333,-0.704
8.005,-0.709
8.00667,-0.713
8.00833,-0.718
8.01,-0.718
8.01167,-0.713
8.01333,-0.708
8.015,-0.703
8.01667,-0.697
8.01833,-0.692
8.02,-0.697
8.02167,-0.706
8.02333,-0.721
8.025,-0.726
8.02667,-0.727
8.02833,-0.723
8.03,-0.713
8.03167,-0.708
8.03333,-0.703
8.035,-0.709
8.03667,-0.714
8.03833,-0.724
8.04,-0.729
8.04167,-0.73
8.04333,-0.726
8.045,-0.711
8.04667,-0.706
8.04833,-0.706
8.05,-0.701
