Polymer_Name_P,Mn,Mw,D,THF Soluble,DMF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3
ADA50_DMD25_CHM25_P,,,,,,,T1_F6,7,"solid (waxy, opaque)",Y,Y,Distributed,20230910,Y,Y,2:0.7:1.3,2,0.7,1.3
ADA50_DMD25_DPD25_P,,,,,,,T1_G10,9,viscous,Y,N,NA,20231018,Y,Y-DPD->DPG,2:1.0:1.0,2,1,1
ADA50_DPG25_CHD25_P,,,,,,,T2_A9,13,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,Y,2:1.1:0.9,2,1.1,0.9
ADA50_ETG25_BND25_P,,,,,,,T1_E6,6,viscous,Y,Y,Distributed,20231209,Y,Y,2:1.0:1.0,2,1,1
ADA50_HND25_NND25_P,,,,,,,T2_F7,18,"solid (waxy, opaque)",Y,N,NA,20231115,P,Y,2:1.0:1.0,2,1,1
ADA50_MPD25_CHD25_P,,,,,,,T2_J1,21,,Y,Y,Clear Zone,20231115,,,2:1.6:0.4,2,1.6,0.4
ADA50_OTD25_BPA25_P,,,,,,,T3_C5,24,,Y,Y,Color Interference,20231209,P,,2:1.2:0.8,2,1.2,0.8
ADA50_PPD25_CHD25_P,,,,,,,T1_H5,9,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,,2:1.0:1.0,2,1,1
ADA50_PRD25_CHD25_P,,,,,,,T1_D1,4,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
ADA50_PTD25_HND25_P,,,,,,,T2_D10,16,"solid (waxy, opaque)",Y,N,Hydrolysis,20231115,P,Y,2:1.0:1.0,2,1,1
ADA50_PTD25_TEG25_P,,,,,,,T2_E4,17,viscous,Y,N,Hydrolysis,20231115,P,Y,2:1.1:0.9,2,1.1,0.9
ADA50_TPD25_PTD25_P,,,,,,,T2_C3,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,2:0.9:1.1,2,0.9,1.1
AZA50_BED25_CHD25_P,,,,,,,T3_A1,22,,Y,Y,Distributed,20231209,P,,2:1.0:1.0,2,1,1
AZA50_BND25_BED25_P,,,,,,,T1_J8,12,viscous,Y,N,NA,20231018,Y,Y,2:1.0:1.0,2,1,1
AZA50_BND25_DCD25_P,,,,,,,T1_J4,11,"solid (waxy, opaque)",Y,N,NA,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
AZA50_DMD25_DPG25_P,,,,,,,T1_F4,7,viscous,Y,Y,Clear Zone,20231209,Y,Y,2:1.0:1.0,2,1,1
AZA50_DMD25_TPD25_P,,,,,,,T1_G9,9,viscous,Y,N,NA,20231018,Y,Y,2:1.0:1.0,2,1,1
AZA50_DPD25_TPG25_P,,,,,,,T2_C8,15,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,2:1.0:1.0,2,1,1
AZA50_ETG25_TPG25_P,,,,,,,T1_E9,6,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:0.9:1.1,2,0.9,1.1
AZA50_MPD25_OTD25_P,,,,,,,T2_I9,21,,Y,Y,Distributed,20231115,,,2:1.0:1.0,2,1,1
