Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,Test Evaluation Score
16,4,2,1,64,0.8071794871794873,0.08305416750713014,0.9230769230769231
16,32,2,1,4,0.807051282051282,0.09616581122136517,0.9487179487179487
8,64,2,1,8,0.8069230769230769,0.07259331658009095,0.9487179487179487
16,128,2,1,512,0.7716666666666667,0.07465282345609658,0.8717948717948718
16,1,2,1,8,0.7714102564102564,0.10725920235183495,0.8717948717948718
8,8,2,1,256,0.7511538461538463,0.07118375439806339,0.8717948717948718
8,64,2,1,16,0.7614102564102565,0.04721083128267339,0.8974358974358975
16,4,2,1,128,0.8121794871794872,0.060631673805920626,0.9743589743589743
16,256,2,1,2,0.7461538461538462,0.09492029252451163,0.8974358974358975
16,32,2,1,8,0.7819230769230769,0.05353450717295482,0.8974358974358975
16,1,2,1,16,0.736025641025641,0.13616591766468153,0.9230769230769231
8,8,2,1,512,0.7812820512820513,0.05373829245766573,0.8974358974358975
32,2,2,1,512,0.801923076923077,0.08888231402376734,0.9487179487179487
8,64,2,1,32,0.7512820512820513,0.03676604785422551,0.8974358974358975
8,16,2,1,2,0.7305128205128206,0.10947591967562158,0.8717948717948718
16,1,2,1,32,0.7717948717948717,0.08927073228298603,0.8717948717948718
16,256,2,1,4,0.8071794871794872,0.08145556986439256,0.9743589743589743
16,4,2,1,256,0.7969230769230768,0.06533985395951206,0.9230769230769231
16,32,2,1,16,0.7920512820512821,0.059861773717980675,0.9743589743589743
8,64,2,1,64,0.7462820512820513,0.026487316007293347,0.9230769230769231
16,1,2,1,64,0.7411538461538462,0.1048341729269647,0.7435897435897436
32,16,2,1,512,0.791923076923077,0.05845029131576756,0.8974358974358975
16,256,2,1,8,0.7919230769230768,0.10036062522389953,0.9230769230769231
16,4,2,1,512,0.8019230769230768,0.08353427450116843,0.9487179487179487
8,64,2,1,128,0.7511538461538463,0.08468179212298096,0.9230769230769231
32,4,2,1,2,0.7512820512820512,0.1070309361903144,0.9230769230769231
16,1,2,1,128,0.7561538461538462,0.06578509830081877,0.9230769230769231
16,32,2,1,32,0.7766666666666666,0.046275835934675345,0.9487179487179487
