Name,SMILES_List,Ratio_List,Biodegradability
AC_50,"['C(=O)c(cc1)ccc1C(=O)', 'OCC=CCO']","[1, 1]",0
AC_51,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C2(CCCCC2)c3cc(cc3)O']","[1, 1]",1
AC_52,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",0
AC_54,"['C(=O)CCCCCCCCC(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",1
AC_55,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_56,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",1
AC_57,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_59,"['C(=O)CCCCCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
AC_60,"['C(=O)CCCCCCCC(=O)', 'OCC=CCO']","[1, 1]",1
AC_61,"['C(=O)CCCCCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
AC_62,"['C(=O)CCCCCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_63,"['C(=O)CCCCCCCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_64,"['C(=O)CCCCCCCC(=O)', 'OCC#CCO']","[1, 1]",1
AC_66,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_67,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",1
AC_68,"['C(=O)CCCCCCCC(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",1
AC_70,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",1
AC_71,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
AC_72,"['C(=O)CCCCCCCC(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",1
AC_73,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",0
AC_76,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
AC_77,"['C(=O)CCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
